,name,height,weight,spike,block,position
0,Angelina Lazarenko,193,80,320,305,middle
1,Svetlana Serbina,182,71,295,284,setter
2,Ekaterina Shkurikhina,190,72,306,296,wing
3,Kristina Kurnosova,176,62,288,278,libero
4,Ekaterina Novikova,181,70,290,275,setter
5,Victoria Zhurbenko,186,67,306,297,middle
6,Angelina Sperskaite,188,72,305,295,wing
7,Anastasiia Barchuk,187,78,305,297,middle
8,Anastasiia Cheremisina,187,80,305,298,wing
9,Anna Lazareva,190,67,315,300,opposite
10,Tatiana Iurinskaia,195,69,305,275,wing
11,Sabina Gilfanova,187,79,300,296,opposite
12,Drussyla Costa,182,73,304,286,wing
13,Lana Conceição,175,72,292,281,wing
14,Ariane Pinto,191,79,291,284,opposite
15,Laiza Ferreira,181,71,301,285,middle
16,Gabriela Candido Da Silva,181,75,296,285,wing
17,Gabriela Silva,182,75,296,281,middle
18,Karoline Tormena,187,69,295,284,middle
19,Lorenne Geraldo Teixeira,187,72,306,289,opposite
20,Thais Oliveira,172,69,275,272,setter
21,Lais Vasques,171,70,275,274,libero
22,Lyara Medeiros,184,67,297,285,setter
23,Maiara Basso,186,80,287,276,middle
24,Nanami Hirose,177,61,301,295,wing
25,Misaki Shirai,175,70,293,278,setter
26,Yurika Kono,177,60,292,282,middle
27,Yuka Kitsui,172,60,294,283,opposite
28,Haruka Maruo,176,64,293,283,middle
29,Haruka Kanamori,176,66,297,290,middle
30,Moeri Hanai,167,60,280,272,libero
31,Mizuki Yanagita,168,64,300,290,wing
32,Yuka Onodera,173,70,293,283,setter
33,Shino Nakata,178,66,287,284,wing
34,Kaori Mabashi,173,63,296,286,wing
35,Anna Koike,162,62,263,253,wing
36,Slavena Nikova,180,72,290,280,wing
37,Elitsa Barakova,184,60,290,280,middle
38,Polina Neykova,182,73,287,280,setter
39,Simona Nikolova,190,75,308,300,opposite
40,Iveta Stanchulova,186,72,290,285,middle
41,Vangeliya Rachkovska,185,67,296,281,wing
42,Gergana Dimitrova,184,71,305,288,wing
43,Miroslava Paskova,180,67,299,280,wing
44,Kristiana Petrova,177,70,290,282,wing
45,Radostina Marinova,183,62,287,279,middle
46,Zhana Todorova,170,56,271,255,libero
47,Mirela Shahpazova,175,65,280,270,setter
48,Jovana Kocic,190,85,290,285,middle
49,Aleksandra Cirovic,175,57,285,275,setter
50,Sara Lozo,186,61,295,290,opposite
51,Katarina Marinkovic,186,72,298,285,wing
52,Jelena Vignjevic,180,63,285,280,setter
53,Maja Aleksic,188,72,290,285,middle
54,Katarina Lazovic,182,65,285,275,wing
55,Bojana Milenkovic,185,70,294,288,wing
56,Aleksandra Tadic,174,60,270,265,libero
57,Sara Vucicevic,186,66,287,282,middle
58,Milena Dimic,170,64,255,250,libero
59,Marija Vujnovic,182,65,290,276,wing
60,Leslie Angélica Lopez Flores,169,78,198,190,libero
61,Maria Fernanda Rodriguez Gomez,185,80,287,280,opposite
62,Janeth Alejandra Vargas Guevara,169,68,200,210,setter
63,Maria Elena Aguilera,153,55,260,240,setter
64,Kathya Paulina Garcia Chavez,178,69,285,250,wing
65,Miriam Arleth Bojorquez Ruiz,164,66,195,200,wing
66,Montserrat Castro Narvaez,199,85,270,268,middle
67,Fernanda Bañuelos,186,70,303,285,wing
68,Kitzia Adonay Corrales Hernandez,178,71,0,0,opposite
69,Karina Angelica Flores Gamez,192,80,299,285,middle
70,Mitzy Natalia Gonzalez Guzman,168,75,211,209,wing
71,Alondra Amaro Rodriguez,188,69,275,250,middle
72,Dalila Palma Rodriguez,182,62,301,285,opposite
73,Laura Beatriz Suarez Hernandez,185,75,304,292,middle
74,Aidachi Attilah Aguero Aguilera,177,69,304,295,wing
75,Claudia Hernandez Aguila,181,78,225,223,wing
76,Diaris De La Caridad Perez Ramos,182,75,304,295,wing
77,Kitania Medina Torres,186,77,308,295,opposite
78,Ailama Cese Montalvo,188,58,322,308,wing
79,Liset Herrera Blanco,192,70,311,300,middle
80,Anaila Martinez Chaviano,184,70,320,310,setter
81,Carmela Massip Mursuli,181,65,304,295,wing
82,Sonia Beatriz Romero Espinosa,183,70,301,288,setter
83,Anet Alfonso Benitez,172,54,225,222,opposite
84,Haiping Sun,180,65,300,292,setter
85,Mingyuan Hu,187,69,305,297,middle
86,Zixuan Meng,180,62,298,290,libero
87,Ye Jin,187,77,310,302,wing
88,Qingqing Du,189,72,312,300,wing
89,Qian Zhang,193,70,313,302,middle
90,Jiayi Huang,173,60,285,275,libero
91,Wanqianbai Rong,184,75,304,297,setter
92,Yuanyuan Wang,195,75,312,300,middle
93,Xiangyu Gong,186,72,313,302,opposite
94,Xinyi Zhou,187,69,307,300,wing
95,Yi Yang,184,70,308,300,opposite
96,Mayar Mohamed,186,78,288,279,middle
97,Mai Moustafa,175,63,280,269,wing
98,Salma Mahmoud,175,56,278,266,wing
99,Nourallah Amin,184,70,285,276,middle
100,Malak Badawy,175,64,273,289,opposite
101,Mariam Ebrahim,167,63,273,261,setter
102,Rahma Almohandes,175,63,277,265,wing
103,Yasmin Hussein,175,74,188,178,wing
104,Hend Farag,186,68,277,272,middle
105,Icel Nadim,162,52,253,267,libero
106,Jailan Tawfik,175,65,292,279,opposite
107,Rania Ashmawy,174,67,273,264,setter
108,Diana De La Peña,187,60,294,295,middle
109,Nair Canessa,185,70,295,298,middle
110,Nicole Abreu Erquinigo,180,63,285,270,wing
111,Cristina Cuba,176,65,280,275,setter
112,Shiamara Almeida,172,62,286,275,setter
113,Maguilaura Frias,186,71,291,280,opposite
114,Katherine Regalado,190,66,296,287,opposite
115,Rosa Valiente,183,60,290,295,middle
116,Angela Leyva,184,70,312,291,wing
117,Yomira Villacorta,164,61,265,250,libero
118,Dayana Rojas,160,55,178,180,wing
119,Coraima Gomez,179,70,300,285,wing
120,Ilaria Bonvicini,160,52,261,243,wing
121,Carlotta Cambi,177,66,302,292,setter
122,Sofia D'odorico,187,78,312,302,wing
123,Alessia Orro,180,74,308,231,setter
124,Sara Bonifacio,188,76,320,300,middle
125,Anna Danesi,195,75,312,246,middle
126,Anastasia Guerra,187,80,314,239,wing
127,Chiara De Bortoli,180,68,302,286,libero
128,Paola Ogechi Egonu,190,70,336,256,opposite
129,Beatrice Berti,193,87,304,288,middle
130,Anna Nicoletti,193,86,306,290,opposite
131,Elisa Zanette,193,86,304,288,opposite
132,Melis Yilmaz,165,52,260,259,libero
133,Cansu Ozbay,182,75,285,284,setter
134,Ayca Aykac,176,54,280,279,libero
135,Rida Erlalelitepe,183,70,293,290,wing
136,Ada Germen,182,62,285,283,wing
137,Zehra Gunes,194,82,309,255,middle
138,Humay Topaloglu,180,63,295,293,wing
139,Yagmur Mislina Kilic,189,66,283,280,wing
140,Cemre Janset Erkul,184,65,298,295,middle
141,Arelya Karasoy,181,73,287,280,setter
142,Su Zent,184,70,305,303,middle
